Название,Категория,Кухня,Ценовой диапозон,Адрес,Режим работы,Телефон,Сайт,Фото,ID,lat,lon
Мануфактура,Лофт-бар,Итальянская кухня Японская кухня Европейская кухня ,Средний чек 750 ₽,"Заводская улица, 41","[' 12:00-24:00', '  12:00-24:00', '  12:00-24:00', '  12:00-24:00', '  12:00-05:00', '  12:00-05:00', '  12:00-24:00']",88332455161,http://manufaktura43.ru,https://i7.photo.2gis.com/images/branch/58/8162774336590789_01d1_300x300.jpg,8163302605699712,58.62169,49.681287
Здесь Был Пьер,Гастробар,Японская кухня Русская кухня Европейская кухня ,Средний чек 700 ₽,"улица Воровского, 78","[' 12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00']",89229682341,http://selipoeli.ru/gastrobar,https://i5.photo.2gis.com/images/branch/0/30258560089457731_d16e_300x300.jpg,70000001041094224,58.592974,49.632196
Лампа Грина,Книжный клуб,,Средний чек 500 ₽,"Московская улица, 3","[' 07:00-23:00', '  07:00-23:00', '  07:00-23:00', '  07:00-23:00', '  07:00-23:00', '  07:00-23:00', '  07:00-23:00']",89127377565,,https://i0.photo.2gis.com/images/branch/0/30258560098280867_98dd_300x300.jpg,70000001065498561,58.604035,49.683965
Aroma Rooms Bar,Бары,,Средний чек 800 ₽,"Октябрьский проспект, 92","[' 12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-02:00', '  12:00-02:00', '  12:00-01:00']",88332444170,,https://i6.photo.2gis.com/images/branch/0/30258560090401689_3458_300x300.jpg,70000001019008366,58.592538,49.658682
БиZон,Кафе-шашлычная,Русская кухня ,Средний чек 500 ₽,"Московская улица, 168","[' 11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-24:00', '  11:00-24:00', '  11:00-24:00']",88332442568,,https://i5.photo.2gis.com/images/branch/0/30258560085551914_680d_300x300.jpg,70000001061944929,58.599568,49.581488
Jackie Brown,Пивной паб,Русская кухня Европейская кухня Американская кухня ,Средний чек 1000 ₽,"улица Карла Маркса, 101","[' 11:00-03:00', '  11:00-03:00', '  11:00-03:00', '  11:00-03:00', '  11:00-03:00', '  15:00-03:00', '  15:00-03:00']",88332462533,,https://i7.photo.2gis.com/images/branch/58/8162774341270569_8865_300x300.jpg,8163303606097679,58.59456,49.667428
БарЭль,Бары,Мексиканская кухня Европейская кухня Американская кухня ,Средний чек 300 ₽,"Московская улица, 52/2","[' 15:00-02:00', '  15:00-02:00', '  15:00-02:00', '  15:00-02:00', '  15:00-02:00', '  15:00-02:00', '  15:00-02:00']",88332448579,http://vyatichbar.ru,https://i4.photo.2gis.com/images/branch/0/30258560074513628_49c1_300x300.jpg,70000001022184436,58.603326,49.659929
Don`t worry papa,Бары,Итальянская кухня Европейская кухня ,,"улица Северное кольцо, 48","['Пт: 20:00-05:00', ' Сб: 20:00-05:00', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)']",88332492120,,https://i0.photo.2gis.com/images/branch/0/30258560088906960_d692_300x300.jpg,70000001021228120,58.626216,49.652592
Угольки,Гриль-бар,Русская кухня ,Средний чек 300 ₽,"улица Менделеева, 21","[' 12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00']",88332450388,http://selipoeli.ru,https://i6.photo.2gis.com/images/branch/0/30258560091001470_f99e_300x300.jpg,70000001025952921,58.601771,49.60192
Сушилка,Удобные кафе,Итальянская кухня Японская кухня Паназиатская кухня Русская кухня Европейская кухня ,Средний чек 500 ₽,"улица Карла Маркса, 127","[' 10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00']",88332444245,http://sushi-pizzi.ru/?utm_source=2gis&utm_medium=link,https://i8.photo.2gis.com/images/branch/0/30258560077739144_a181_300x300.jpg,8163302605623892,58.590916,49.668786
Мадлиани Хинкали и вино,Кафе,Грузинская кухня Кавказская кухня ,Средний чек 700 ₽,"Московская улица, 25а","[' 11:30-23:00', '  11:30-23:00', '  11:30-23:00', '  11:30-23:00', '  11:30-24:00', '  12:00-24:00', '  12:00-23:00']",88332411455,,https://i1.photo.2gis.com/images/branch/0/30258560067273759_5027_300x300.jpg,70000001055399187,58.603806,49.675204
Brusnika,Кафе,Греческая кухня ,Средний чек 650 ₽,"улица Ленина, 82/1","[' 08:30-22:00', '  08:30-22:00', '  08:30-22:00', '  08:30-22:00', '  08:30-22:00', '  10:00-22:00', '  10:00-22:00']",88332792252,,https://i4.photo.2gis.com/images/branch/0/30258560101467781_54dc_300x300.jpg,70000001051992104,58.602278,49.681642
CHILLim Cyber Lounge,Компьютерные клубы,Итальянская кухня Европейская кухня Американская кухня ,,"Московская улица, 54","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",89127349005,http://chillimcyber.online/,https://i9.photo.2gis.com/images/branch/0/30258560071309938_1ba8_300x300.jpg,70000001047676860,58.603161,49.658216
